Job Title;Median Pay (annual);Typical Education Requirements;Number of Jobs, 2022;Job Outlook, 2022-32;Work Environment
Computer Programmer;$97,800;Bachelor's;147,40;-11%;Office Setting
Data Scientist;$103,500 ;Bachelor's;59,40;35%;Office Setting
Able Seaman;$66,100 ;None;1,50;2%;Water
Butcher;$36,930�;None;131,60;-1%;Grocery Store
Jewelers and Precious Stone and Metal Worker;$47,140;High School;47,20;-3%;Workbench
Quality Control Inspector;$43,900;High School;595,40;-4%;Manufacturing Plants
Public Safety Telecommunicator;$46,900;High School;99,50;3%;Emergency Communication Center
Adobe Layer;$49,490 ;None;294,20;-3%;Outdoors
Urologist;$229,300;Doctorate;816,90;3%;Clinical Setting
Vacuum Cleaner Assembler;$37,930;High School;1961900,00;-6%;Manufacturing Plants
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
